Rooms,Count,Exp Out,,
FDR-1,3,3,,FDR
FDR-2,,,,FDR
FDR-3,,,,FDR
Server Room-1,2,2,,Server Room
Server Room-2,,,,Server Room
Server Room-3(Door-1),1,2,,Server  Room-3
Server Room-3(Door-2),1,,,Server Room-3
MUX Room-1,2,2,,MUX Room
MUX Room-2,,,,MUX Room
UPS Room RHS-1,2,2,,UPS Room
UPS Room LHS-2,,,,UPS Room
Battery Bank RHS,2,2,,Battery Bank
Battery Bank UHS,,,,Battery Bank
BMS,1,1,,BMS
Electrical Room-1,2,2,,Electrical Room
Electrical Room-2,,,,Electrical Room
Panel Room-1,2,2,,Panel Room
Panel Room-2,,,,Panel Room
